datetime_utc,date_utc,time_utc,source_ip,event_name,alert_type,experiment,block_id,repo_name,condition,placement,canarytoken_id
2026-08-30T13:02:00Z,2026-08-30,13:02,AWS Internal,AttachUserPolicy,aws_internal,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:04:00Z,2026-08-30,13:04,AWS Internal,AttachUserPolicy,aws_internal,1,1,geo-clustering-service,ci_deploy,.github/workflows/deploy.yml,l8q862o5iedr8xogykcdlhhpp
2026-08-30T13:05:00Z,2026-08-30,13:05,AWS Internal,AttachUserPolicy,aws_internal,1,1,experiment-tracker-svc,config_ini,config.ini,15sriqibn0xj6ywqoo2tq4sxg
2026-08-30T13:05:00Z,2026-08-30,13:05,AWS Internal,AttachUserPolicy,aws_internal,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:06:00Z,2026-08-30,13:06,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:07:00Z,2026-08-30,13:07,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:07:00Z,2026-08-30,13:07,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:09:00Z,2026-08-30,13:09,54.39.179.46,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:15:00Z,2026-08-30,13:15,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:15:00Z,2026-08-30,13:15,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:16:00Z,2026-08-30,13:16,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:17:00Z,2026-08-30,13:17,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:18:00Z,2026-08-30,13:18,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:20:00Z,2026-08-30,13:20,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:28:00Z,2026-08-30,13:28,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:28:00Z,2026-08-30,13:28,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:29:00Z,2026-08-30,13:29,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,snowflake-sync-agent,env,.env,npdk4z3yi87x3lr98nkb41kpb
2026-08-30T13:29:00Z,2026-08-30,13:29,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
2026-08-30T13:47:00Z,2026-08-30,13:47,54.39.181.162,GetCallerIdentity,ip_triggered,1,1,propensity-scoring-api,terraform_tfvars,terraform.tfvars,54vl7zam401ugtuklmzo4v40u
